Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Car_Age,Km_Per_Year,Model,Price_Lakhs
Land Rover,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,14,6071.4,Freelander 2 TD4 SE,17.5
Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,12,9166.7,Pajero Sport 4X4,15.0
Honda,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,10,5895.0,Amaze S i-Dtech,5.4
Maruti Suzuki,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,9,2777.8,Swift DDiS VDI,5.99
Renault,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,12,6455.8,Duster 85PS Diesel RxL Plus,6.34
Mercedes-Benz,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,12,6541.7,New C-Class C 220 CDI BE Avantgare,28.0
BMW,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,12,2748.5,3 Series 320d,18.55
Maruti Suzuki,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,11,5035.6,S Cross DDiS 200 Alpha,8.25
Audi,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,11,5089.5,A6 2011-2015 35 TFSI Technology,23.5
Hyundai,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,16,2862.9,i20 1.2 Magna,1.87
Volkswagen,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,16,2062.5,Vento Petrol Highline AT,2.85
Honda,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,14,3708.6,City Corporate Edition,4.25
Nissan,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,14,3857.1,Micra Diesel XV,4.25
Maruti Suzuki,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,13,4153.8,Alto K10 2010-2014 VXI,2.75
Honda,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,8,4678.8,WRV i-VTEC VX,9.9
Toyota,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,19,13789.5,Innova 2.5 V Diesel 7-seater,4.0
Renault,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,13,4769.2,Duster 110PS Diesel RxZ Pack,7.75
Toyota,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,14,6258.2,Corolla Altis G,6.75
Mahindra,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,13,5538.5,Ssangyong Rexton RX7,12.5
Audi,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,16,2187.5,A6 2.7 TDI,11.5
Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,12,4619.2,Vento 1.6 Highline,6.98
Maruti Suzuki,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,17,4930.4,Wagon R LXI BSIII,1.85
Maruti Suzuki,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8,6259.4,Vitara Brezza ZDi Plus,8.63
Mahindra,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,9,5777.8,KUV 100 mFALCON G80 K6 5str AW,4.85
Mercedes-Benz,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,13,6538.5,M-Class ML 350 CDI,28.0
Volkswagen,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,13,4769.2,Polo Diesel Trendline 1.2L,5.0
Maruti Suzuki,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,18,5000.0,Alto LXi,1.25
Tata,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,12,1641.5,Nano LX SE,1.53
Mahindra,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,9,2448.1,KUV 100 mFALCON D75 K8 Dual Tone,5.58
Hyundai,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,12,2957.2,i20 Magna Optional 1.2,4.74
Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,12,3864.5,Elantra 2.0 SX Option AT,8.85
Toyota,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10,5200.1,Corolla Altis G AT,10.11
Hyundai,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,18,3222.5,Elantra CRDi,4.25
Toyota,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,14,5050.3,Innova Crysta 2.7 GX MT,10.95
Hyundai,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,12,6250.0,Xcent 1.1 CRDi S,3.85
Mahindra,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,14,5414.3,Thar CRDe AC,5.5
Audi,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,11,1240.7,A4 2.0 TDI 177 Bhp Premium Plus,21.43
Maruti Suzuki,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,12,4333.3,Swift LDI,4.25
Maruti Suzuki,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,12,4416.7,Swift Ldi BSIV,3.3
Maruti Suzuki,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,13,5050.0,Swift VDI,3.85
Hyundai,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,11,4909.1,Grand i10 Sportz,3.6
Volkswagen,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,11,3545.5,Vento 2013-2015 1.6 Comfortline,3.99
Renault,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,9,1838.0,KWID RXT,3.3
Hyundai,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,16,2000.0,i10 Asta,2.07
Nissan,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,16,7613.2,X-Trail SLX AT,7.75
Maruti Suzuki,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,16,2456.2,Zen Estilo VXI BSIII,2.25
Toyota,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,9,2444.4,Innova Crysta 2.4 GX MT 8S,16.5
Ford,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,16,4500.0,Figo Diesel Titanium,2.75
Mercedes-Benz,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,11,5272.7,New C-Class C 200 CGI Avantgarde,26.7
Mercedes-Benz,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,15,4333.3,New C-Class 200 CDI Classic,10.0
Tata,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,10,17800.0,Indica V2 eLS,2.5
Audi,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,14,4690.3,A4 2.0 TDI Multitronic,13.5
Honda,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,19,3315.8,City ZX CVT,1.85
Mercedes-Benz,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,7,2195.6,C-Class Progressive C 220d,35.67
Maruti Suzuki,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,10,6300.0,Ertiga SHVS VDI,8.15
Hyundai,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,8,1625.0,Creta 1.4 E Plus Diesel,10.5
Porsche,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,18,4055.6,Cayenne 2009-2014 Turbo,14.5
Mahindra,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11,5066.3,XUV500 W8 4WD,9.65
Hyundai,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,14,3227.0,i10 Sportz 1.2 AT,3.48
Nissan,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,11,5096.9,Terrano XV D Pre,6.92
Honda,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,10,3730.0,Brio VX AT,6.46
Audi,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,12,4666.7,A6 2.0 TDI Design Edition,29.5
Toyota,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,20,11500.0,Innova 2.0 G1,4.5
Toyota,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,14,7428.6,Innova 2.5 VX 7 STR BSIV,11.75
Maruti Suzuki,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,14,6792.9,Swift VDI,3.75
Tata,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,9,7777.8,Zest Revotron 1.2T XE,4.5
Honda,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,10,5494.4,Amaze SX i-VTEC,4.82
Ford,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,14,5024.1,Figo Diesel ZXI,2.8
Maruti Suzuki,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,13,7664.5,Ritz VDi,3.11
Honda,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,17,3058.8,City i VTEC E,3.25
BMW,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,15,5000.0,5 Series 2003-2012 525d,13.9
Hyundai,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,17,5645.9,i10 Sportz 1.2,2.25
Hyundai,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,10,1600.0,Grand i10 Sportz,5.75
Honda,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,10,1894.9,Amaze SX i-VTEC,5.0
Toyota,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,12,8916.7,Fortuner 4x2 Manual,16.5
Audi,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,8,6045.9,A6 2011-2015 35 TDI Premium,39.58
Ford,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,13,4384.6,Ecosport 1.5 DV5 MT Titanium Optional,5.5
Mahindra,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,12,4833.3,XUV500 W8 2WD,8.1
Honda,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,11,2727.3,Amaze SX i-DTEC,3.5
Volkswagen,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,13,2631.7,Polo Diesel Highline 1.2L,2.79
Hyundai,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,16,4375.1,Verna Transform SX VGT CRDi,3.45
Maruti Suzuki,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,10,6200.0,Wagon R VXI BS IV,4.45
Volkswagen,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,16,3875.1,Polo Petrol Highline 1.6L,2.65
Hyundai,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,15,5263.9,i20 1.4 CRDi Sportz,3.8
Hyundai,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,12,2515.0,i20 Asta 1.2,4.65
Datsun,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,9,3650.1,GO Plus T Petrol,3.95
Audi,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,16,1875.0,A4 3.0 TDI Quattro Premium,9.8
Hyundai,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,17,3882.4,i20 2015-2017 Asta,2.7
Maruti Suzuki,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,16,5865.6,Omni 5 Str STD,2.41
Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,12,4416.7,Etios Liva 1.2 G,3.9
Jaguar,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,15,5200.0,XF 3.0 Litre S Premium Luxury,24.0
Mahindra,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,14,4642.9,XUV500 W8 2WD,5.75
Hyundai,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,12,3333.3,Verna 1.6 SX CRDI (O) AT,5.25
Toyota,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,9,3333.3,Innova Crysta 2.8 ZX AT,19.25
Maruti Suzuki,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,9,4228.1,Eeco 5 Seater AC,3.91
Tata,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,12,2125.0,Nano Twist XT,2.15
BMW,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,11,5098.8,3 Series 320d Luxury Line,20.75
Honda,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,16,4443.0,Civic 2006-2010 1.8 V MT,3.35
Toyota,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12,4583.3,Innova 2.5 VX (Diesel) 7 Seater,11.11
Volvo,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,12,2725.0,V40 Cross Country D3,20.0
Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,10,3988.2,Micra XV CVT,6.55
BMW,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,17,7529.4,5 Series 2010-2013 525i,7.0
Maruti Suzuki,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10,5500.0,Vitara Brezza VDi,7.5
Mercedes-Benz,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,12,4479.4,B Class B200 CDI,16.75
Hyundai,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,8,1281.2,Verna CRDi 1.6 SX Option,10.95
Maruti Suzuki,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,15,2924.9,Wagon R LXI BS IV,2.45
Tata,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,9,3631.6,Nano XTA,3.23
Mahindra,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,12,3500.0,Scorpio VLX,7.75
Mercedes-Benz,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,17,1667.8,New C-Class 200 K AT,9.35
Maruti Suzuki,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,13,6915.4,Wagon R LXI CNG,3.25
Honda,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,19,2510.5,CR-V 2.4 MT,5.25
Volkswagen,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,11,5000.0,Vento 1.5 TDI Comfortline AT,7.25
Maruti Suzuki,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9,4920.6,Ciaz VXi Plus,7.47
Mahindra,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,10,5400.0,XUV500 AT W10 FWD,13.25
Maruti Suzuki,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,10,3023.2,Ritz VXI ABS,5.81
Maruti Suzuki,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,12,7375.0,Alto K10 VXI,2.6
Mercedes-Benz,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,9,1485.8,SLC 43 AMG,54.0
Hyundai,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,7,1806.4,Verna VTVT 1.6 AT SX Plus,11.5
Maruti Suzuki,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,16,5899.1,Alto LXi BSIII,1.6
BMW,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,11,2892.8,1 Series 118d Base,17.22
Honda,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,11,1090.9,Jazz 1.2 V CVT i VTEC,6.0
Honda,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,14,6327.0,Civic 2006-2010 1.8 V MT,3.95
Mercedes-Benz,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,12,3747.1,New C-Class C 220 CDI Avantgarde,17.95
Honda,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,12,3753.7,Amaze SX i-DTEC,3.7
Maruti Suzuki,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,10,3420.4,Swift VVT VXI,5.43
Toyota,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,14,6516.8,Fortuner 3.0 Diesel,13.49
Chevrolet,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,12,3233.3,Beat LT Option,2.85
Skoda,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,13,6384.6,Rapid 1.5 TDI Elegance,4.75
Maruti Suzuki,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,8,5160.4,Ciaz 1.4 Alpha,9.9
Audi,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,13,1769.2,RS5 Coupe,37.0
BMW,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,12,4000.0,3 Series Luxury Line,26.5
Audi,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,11,4383.1,A4 2.0 TDI 177 Bhp Premium Plus,23.32
Maruti Suzuki,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,10,3500.0,Swift VDI,6.25
Mercedes-Benz,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,16,2204.8,S Class 2005 2013 S 500,30.0
Skoda,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,10,5462.0,Rapid 1.5 TDI AT Elegance Plus Black Package,9.86
Skoda,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,14,9785.5,Superb Elegance 2.0 TDI CR AT,8.5
Hyundai,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,7,2046.0,EON Magna Plus,4.23
Volkswagen,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,14,4688.1,Polo Diesel Trendline 1.2L,3.5
Datsun,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,10,600.0,GO NXT,2.5
Honda,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,13,2560.0,Brio S MT,2.39
Mercedes-Benz,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,13,2230.8,B Class B180,11.25
Honda,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,11,3893.7,City i DTEC V,7.11
Toyota,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10,9000.0,Innova 2.5 G (Diesel) 7 Seater,10.9
Maruti Suzuki,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,9,2667.2,Swift VXI Optional,6.2
Mahindra,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,14,2342.3,XUV500 W8 2WD,7.9
Ford,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,12,12324.8,Ecosport 1.5 DV5 MT Ambiente,4.42
Toyota,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,14,9411.8,Fortuner 4x2 Manual,13.5
Volkswagen,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,13,5000.0,Vento 1.5 Highline Plus AT 16 Alloy,6.25
Ford,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,16,4132.7,Figo Diesel Titanium,2.1
BMW,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,11,3727.3,X5 xDrive 30d,45.0
Mercedes-Benz,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,9,2616.7,New C-Class C 220 CDI Style,33.66
Honda,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,14,3214.3,Brio V MT,3.65
Hyundai,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,13,4615.4,i10 Magna 1.2,2.75
Mercedes-Benz,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,10,4441.4,GLC 220,42.5
Hyundai,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7,142.9,Grand i10 1.2 Kappa Asta,6.5
Audi,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,14,4464.3,A6 2011-2015 2.0 TDI Premium Plus,19.0
Volkswagen,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,13,1615.4,Vento Petrol Highline AT,4.45
Mini,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,9,947.2,Countryman Cooper D,23.0
Hyundai,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,12,2416.7,i20 Asta 1.4 CRDi,8.35
Audi,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,12,3333.3,A6 2011-2015 2.0 TDI Premium Plus,22.95
Chevrolet,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,14,6285.7,Beat Diesel LT,1.5
Skoda,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,14,3824.1,Superb Elegance 1.8 TSI AT,6.89
Ford,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,20,10800.0,Fiesta 1.4 TDCi EXI Limited Edition,1.45
BMW,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,12,4250.0,5 Series 520d Luxury Line,33.5
Chevrolet,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,19,6236.8,Optra Magnum 1.6 LS BS3,1.25
Volkswagen,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,14,4500.0,Polo Diesel Highline 1.2L,4.2
Renault,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,11,2272.7,Lodgy 110PS RxZ 8 Seater,6.75
Mercedes-Benz,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,12,3115.2,E-Class E250 CDI Avantgrade,32.0
Maruti Suzuki,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,9,2752.6,Baleno Alpha,7.5
Hyundai,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,14,4428.6,Verna 1.6 SX,4.6
Hyundai,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,9,5815.6,i10 Magna 1.1,4.04
Mahindra,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10,5673.9,Scorpio 1.99 S10 4WD,10.31
Land Rover,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,8,4511.4,Range Rover 2.2L Dynamic,55.76
Ford,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,16,7500.0,Figo Diesel ZXI,2.6
Maruti Suzuki,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,10,3300.0,Ertiga ZDI,8.5
Honda,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,12,4333.3,Amaze S i-Dtech,3.5
Hyundai,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,11,3961.0,i10 Magna,3.55
Honda,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,13,3846.2,Amaze S i-Dtech,3.25
Skoda,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,18,6277.8,Laura Ambiente,4.5
Renault,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,12,7500.0,Duster 85PS Diesel RxL,5.35
